P_high_MPa,valid,invalid_reason,COP,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C,superheat_K,m_CO2_kg_s,m_steam_kg_h,W_electric_kW,Q_evaporator_kW,x5,IHX_heat_kW,IHX_min_approach_K,gas_cooler_min_approach_K,pinch_location
8.0,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler. Primeira falha: Temperatura de descarga insuficiente para o approach minimo.,,,,,,,,,,,,,,,,,
8.25,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler. Primeira falha: Temperatura de descarga insuficiente para o approach minimo.,,,,,,,,,,,,,,,,,
8.5,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler.,,,,,,,,,,,,,,,,,
8.75,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler.,,,,,,,,,,,,,,,,,
9.0,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler.,,,,,,,,,,,,,,,,,
9.25,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler.,,,,,,,,,,,,,,,,,
9.5,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler.,,,,,,,,,,,,,,,,,
9.75,True,,0.9586166801789374,92.1993609643049,165.11361078548975,117.80550554654155,55.66100103847975,15.000000000000966,15.0,77.19936096430393,1.9915253357736822,164.77060596598983,125.18037968794842,1.078639296448896,0.9969339056339978,229.84713918628628,25.606144582236652,5.000000011003806,0.1605351170568562
10.0,True,,0.9868054105013311,91.87741663102162,167.71952864611512,117.38793871150568,56.70833714926482,15.000000000000966,15.0,76.87741663102065,1.859321858343684,164.77060596598983,121.60452174561534,4.475704341665419,0.986372947481169,213.90049464648004,25.510522080484066,5.000000025380075,0.1605351170568562
10.25,True,,1.013130469156499,91.56819928390496,170.27336557485933,116.98678678082439,57.71105751799291,15.000000000000966,15.0,76.568199283904,1.7445169271624934,164.77060596598983,118.44476467074202,7.477473562794997,0.975735306320616,200.07205780038436,25.41858749691943,5.0000000461371314,0.1605351170568562
10.5,True,,1.03783953542765,91.27125536133985,172.7777597855864,116.6014720237996,58.66872684985765,15.000000000000966,15.0,76.27125536133889,1.6438515743009054,164.77060596598983,115.62481087266835,10.156429670965075,0.9650237231152424,187.96482008048713,25.330216662459748,5.000000072731439,0.1605351170568562
10.75,True,,1.0611357208671468,90.98614165851404,175.2351444336166,116.23142927103362,59.58100915478212,15.000000000000966,15.0,75.98614165851308,1.5548362182112123,164.77060596598983,113.08638248643398,12.567936637887643,0.9542412187661995,177.27545864907339,25.245287612519576,5.00000010444478,0.1605351170568562
11.0,True,,1.0831869606890026,90.71242437146566,177.6477655030967,115.87610472835712,60.447661395569185,15.000000000000966,15.0,75.71242437146469,1.4755362064675106,164.77060596598983,110.78419917801578,14.75501078088501,0.9433910922746637,167.76822494050197,25.16368035689146,5.0000001198591235,0.1605351170568562
11.25,True,,1.1041330889042695,90.44967409152935,180.0176927312972,115.53494952848195,61.268525687155375,15.000000000000966,15.0,75.44967409152838,1.404425375506966,164.77060596598983,108.68255032469571,16.75157719153909,0.9324769346484992,159.25710726627415,25.0852754369526,5.000000162447293,0.1605351170568562
11.5,True,,1.1240912991817384,90.1974649445275,182.34683357968174,115.20741865628764,62.043520552978066,15.000000000000966,15.0,75.19746494452653,1.3402835998645426,164.77060596598983,106.75289461572365,18.584750115062537,0.9215026243908355,151.59335819559732,25.009953711760147,4.999998147780104,0.1605351170568562
11.75,True,,1.1431603005994102,89.95537816104235,184.63695100792688,114.89297562743047,62.77263513292968,15.000000000000966,15.0,74.95537816104138,1.2821237681653528,164.77060596598983,104.97215476873944,20.276452969697516,0.9104723575935235,144.65661021894485,24.937597466388127,4.999998437427678,0.1605351170568562
12.0,True,,1.161423733691874,89.72299077354614,186.88966187245393,114.59107784680856,63.45592204838488,15.000000000000966,15.0,74.72299077354518,1.229138622687288,164.77060596598983,103.32146357862877,21.844609600302682,0.8993906051766059,138.34838786150948,24.868087073262416,4.999998566333829,0.1605351170568562
12.25,True,,1.1789527154029085,89.49988155204295,189.1064548628765,114.30118435097847,64.09349591068667,15.000000000000966,15.0,74.49988155204198,1.1806616040625673,164.77060596598983,101.78525265026414,23.304009982249074,0.8882621444008566,132.58735111438244,24.801302798935524,4.9999985206048905,0.1605351170568562
12.5,True,,1.1958079551007181,89.28562820561507,191.2886968414801,114.02275220623045,64.68553221038627,15.000000000000966,15.0,74.2856282056141,1.1361374547344194,164.77060596598983,100.35056171698814,24.666966368861253,0.8770920488832121,127.30571344582083,24.73712400061538,4.99999829652927,0.1605351170568562
12.75,True,,1.2120414456653856,89.07980669214919,193.43764076971962,113.7552356423484,65.23226884131122,15.000000000000966,15.0,74.07980669214822,1.0950999027324508,164.77060596598983,99.00651535403765,25.9438104136643,0.8658856848243135,122.44652496575308,24.675428950199205,4.999997901646168,0.1605351170568562
13.0,True,,1.2276978392697138,88.88199075196508,195.55443318583332,113.49808547564038,65.73401010637679,15.000000000000966,15.0,73.88199075196411,1.057154503595948,164.77060596598983,97.74392050032526,27.14327552469101,0.8546487049755572,117.96158375873594,24.616094723675303,4.999997355700486,0.1605351170568562
13.25,True,,1.24281557764537,88.69175173194918,197.6401207313457,113.25074890816865,66.19113326420484,15.000000000000966,15.0,73.69175173194822,1.021965308180051,164.77060596598983,96.55495325167325,28.272794410910357,0.8433870405123326,113.80981314934405,24.558997176219464,4.999996689454576,0.1605351170568562
13.5,True,,1.2574277587214464,88.50866386733918,199.6956639740884,113.01267642291947,66.60409878486962,15.000000000000966,15.0,73.50866386733821,0.9892444063773999,164.77060596598983,95.43291784970303,29.33872804278207,0.832106921346127,109.95599504589684,24.50401255558029,5.000003132578797,0.1605351170568562
13.75,True,,1.271563175999541,88.3322832576722,201.72191664196527,112.78329447048799,66.9734542294417,15.000000000000966,15.0,73.33228325767124,0.9587435151457767,164.77060596598983,94.37203142161717,30.34657014946363,0.8208147370742468,106.36972299595489,24.451011212815786,5.000002376965995,0.1605351170568562
14.0,True,,1.285246582943597,88.16218033066042,203.71967176035338,112.56204770734143,67.29985192067011,15.000000000000966,15.0,73.16218033065945,0.9302475025024897,164.77060596598983,93.3672974451053,31.301067427150038,0.8095172071568736,103.02464995935684,24.399867376681016,5.00000164425677,0.1605351170568562
14.25,True,,1.298499503938277,87.99791924473482,205.68964095388543,112.34837223764646,67.58405885967125,15.000000000000966,15.0,72.99791924473385,0.9035689174907114,164.77060596598983,92.41435952501072,32.20635845123982,0.7982212375875193,99.89779929960001,24.35045299291164,5.000000990631179,0.1605351170568562
14.5,True,,1.3113406408563264,87.83906417472622,207.63246659369054,112.14170380979044,67.82696217826299,15.000000000000966,15.0,72.83906417472525,0.8785436665504209,164.77060596598983,91.50940362958482,33.06606655189443,0.7869339287593078,96.96904527149587,24.302639635064224,5.000000469277552,0.1605351170568562
14.75,True,,1.3237862769787607,87.68518048555643,209.5487287874593,111.94147936573086,68.02956480834024,15.000000000000966,15.0,72.68518048555546,0.8550274526505957,164.77060596598983,90.64907386249126,33.88337983063326,0.7756625495468905,94.22068039654843,24.256298880174427,5.000000127744158,0.1605351170568562
15.0,True,,1.335850625731173,87.5358361063636,211.4389492410254,111.747138850606,68.19297547752296,15.000000000000966,15.0,72.53583610636264,0.8328928426855282,164.77060596598983,89.83040295715581,34.66111719070194,0.7644145083231171,91.63705934634713,24.211302744242403,4.999999996903341,0.1605351170568562
15.25,True,,1.3475461343921182,87.39060302010705,213.30359803056967,111.55812717211359,68.31839390443292,15.000000000000966,15.0,72.39060302010608,0.8120268372242703,164.77060596598983,89.0507545065478,35.401783218779585,0.7531973206094446,89.20430392790601,24.167524152006536,5.00000000508436,0.1605351170568562
15.5,True,,1.3588837478560303,87.24905901464518,215.14309897627822,111.3738964996852,68.40709387071462,15.000000000000966,15.0,72.24905901464422,0.7923288457946066,164.77060596598983,88.30777481100145,36.10761392954857,0.7420185748209375,86.91005752206334,24.12483748504002,5.000000015920307,0.1605351170568562
15.75,True,,1.3698731384575409,87.11078963990883,216.957835369679,111.19390883153983,68.46040685540811,15.000000000000966,15.0,72.11078963990786,0.7737089911200322,164.77060596598983,87.59935254670255,36.780615080632536,0.7308858964457511,84.74327959137415,24.083119191631,5.000000015952594,0.1605351170568562
16.0,True,,1.3805229104480559,86.97539003681288,218.74815535055865,111.01763839442668,68.47970841980452,15.000000000000966,15.0,71.97539003681192,0.7560866807752071,164.77060596598983,86.92358460103598,37.42259462901582,0.7198069089603307,82.69407248593062,24.0422483576138,5.000000025996599,0.1605351170568562
16.25,True,,1.3908407796292732,86.84246683178912,220.5143772031301,110.84457412836127,68.46640874222442,15.000000000000966,15.0,71.84246683178816,0.7393893995085301,164.77060596598983,86.27874718484011,38.03519017440188,0.7087891936846158,80.75353505342052,24.00210729657215,5.0000000004169465,0.1605351170568562
16.5,True,,1.4008337306773697,86.71164006983543,222.2567945539298,110.67422222112299,68.42194735602459,15.000000000000966,15.0,71.71164006983446,0.7235516840439513,164.77060596598983,85.66327135910291,38.61989220885225,0.6978402494433574,78.91363839111183,23.962582151287563,5.00000000367703,0.1605351170568562
16.75,True,,1.4105081567158757,86.58254497174073,223.9756812064818,110.50610841346202,68.34779089543144,15.000000000000966,15.0,71.58254497173976,0.7085142489092101,164.77060596598983,85.07572212797353,39.17806397842509,0.6869674514613664,77.16711975447706,23.923563441721285,4.999999927490194,0.1605351170568562
17.0,True,,1.4198699789698337,86.45483375378501,225.67129593505547,110.33978038531507,68.24543212196625,15.000000000000966,15.0,71.45483375378404,0.6942232395203748,164.77060596598983,84.51478077384542,39.71095826484691,0.6761780125138455,75.50739194185182,23.884946631530056,4.999999891407015,0.1605351170568562
17.25,True,,1.4289247552600277,86.32817695005787,227.34388651134157,110.17480949395326,68.1163880200483,15.000000000000966,15.0,71.3281769500569,0.6806295901669736,164.77060596598983,83.97922952784387,40.21973194854828,0.6654789428929923,73.92846501864905,23.846632543895396,4.999999829172793,0.1605351170568562
17.5,True,,1.43767776846772,86.20226492011506,228.9936938665412,110.010792753148,67.96219579037358,15.000000000000966,15.0,71.20226492011409,0.667688473041567,164.77060596598983,83.46793880515817,40.705458135099754,0.6548770157712588,72.42487925100126,23.80852783303294,4.999999787637478,0.1605351170568562
17.75,True,,1.4461341080500167,86.07680867157899,230.6209552459734,109.84735391972174,67.78440565581923,15.000000000000966,15.0,71.07680867157802,0.6553588212952522,164.77060596598983,82.97985597048763,41.16913682803674,0.6443787316140497,70.9916465374779,23.770545248142753,4.999999730261322,0.1605351170568562
18.0,True,,1.4542987316775084,85.95154058856428,232.2259071350295,109.68414445696192,67.58457123550306,15.000000000000966,15.0,70.95154058856332,0.6436029194236348,164.77060596598983,82.5139961867271,41.61170362260927,0.6339902910669871,69.62419997408229,23.732603868397632,4.999999710454915,0.1605351170568562
